# Call, Exch1, UserText, 
# JARL contest support
# All Cities All Guns contest
# Last Edit,2024-02-02
7J3AOZ,2708M
JR3FQB,250118M
JR3JRI,250103H
JR3JSZ,2509M
JR3KAH,2702M
JR3KGM,2718M
JR3KQJ,2710H
JR3KSL,2301M
JR3NZC,2409H
JR3OQJ,2709M
JR3OWV,250119M
JR3OYH,250201H
JR3PRC,2512M
JR3RIU,2715H
JR3RIY,2534M
JR3RRI/3,2509M
JR3UIC,2407H
JR3UYY/3,2209H
JR3WIO,250202M
JR3WXA/1,16005M
JR3XEX,22014M
JR4CTF,3306H
JR4CXE,350106M
JR4DTG,3308M
JR4FLW/4,34003M
JR4UCD/6,4502M
JR4VEV,3102H
JR4VFC/5,3706M
JR4WEI/3,2409M
JR4XME/4,3308M
JR4ZUZ/4,3110H
JR5CAG,3803H
JR5DPV,36001M
JR5EZN/5,37002M
JR5MBI,3901M
JR5PPN,36004M
JR5SPS/5,3901H
JR5YDZ/5,3901M
JR6CSY,4205H
JR6GYY/6,430104M
JR6HYO,400101M
JR6JHE,4601H
JR6KBF/6,400103M
JR6NAN,400104M
JR6QJR,4404H
JR6RMV,4708H
JR6SPH,4711H
JR6TPD,4706M
JR7ASO,060102H
JR7BVQ,0201M
JR7CVB,06013H
JR7CYX,0201M
JR7KGE,0506H
JR7KVA/1,110108M
JR7LOS/7,060102M
JR7MSC/7,0513H
JR7NFW/1,1215H
JR7RAR,0708M
JR7RBP/7,07006M
JR7XKN,0308H
JR7XRF,06006M
JR8ALJ,010107H
JR8AMF,010102H
JR8CSA,0104L
JR8DAG,010102H
JR8EQS/8,0102M
JR8HCZ,010107M
JR8NOD,010108H
JR8OGB,010103M
JR8ORC,0114H
JR8PMV/8,0115M
JR8PPG,010103M
JR8QFG,010102M
JR8QMO,0112M
JR8VSE,0102H
JR8WOW/1,110305L
JR8YFA,0102H
JR8YGY,01027M
JR8YLF/8,010103M
JR8YLY,010108M
JR9EIE,2801H
JR9FFO/1,1104M
JR9HET,2801M
JR9PRA,3004H
JR9RZY,2811M
JR9UKF,3009H
JS1DEH,1505H
JS1EKJ,1333M
JS1ETG,1004M
JS1GGW,100123M
JS1GRO/1,110305M
JS1IFK/1,1002M
JS1KPO,1009M
JS1MBH,100117M
JS1NDM,1208H
JS1OYN,1238H
JS1PXY,100107M
JS1QIZ,100120M
JS1SDU,120103M
JS1TLT,100101M
JS1VHP,110107H
JS1VKK,1102M
JS1XLN,1327M
JS1XUG/1,1510M
JS1YDX,1310M
JS1YHQ,11007M
JS1YHW,1312M
JS2ALK/0,0810M
JS2AZO,2007H
JS2CAP,2003M
JS2CIC/2,1901M
JS2EPQ,1902M
JS2FVD,2010M
JS2GBG,2003M
JS2GGD,2002M
JS2GKI,180202M
JS2GSW,1816M
JS2GYN,1903M
JS2HAT/2,1902M
JS2HBX,2019M
JS2HEY,1913M
JS2HPI,21014M
JS2IYT,200114M
JS2IYY,200116H
JS2JAQ/2,2004M
JS2JCP,200103L
JS2JHJ,200116H
JS2JSY,200113L
JS2KAY/2,180101M
JS2KMX,18009M
JS2KRI,200114L
JS2LEA/2,1907M
JS2LHD,200103H
JS2LJW/2,200114M
JS2LKI,180102L
JS2LSW,2033M
JS2MAU/2,200113L
JS2MKU,1906H
JS2MMZ,2101L
JS2NPR,180101M
JS2NTT,200114L
JS2NYJ,2013M
JS2OSW,19008M
JS2OYN,200114M
JS2PHO,2008H
JS2RQK,2028M
JS2XTS,180101H
JS3CGH/5,37009M
JS3COV,2720H
JS3HXV,2731H
JS3JHC,2304M
JS3NEA,2310M
JS6EAQ/6,4701M
JS6RRR,4714H
JS6RTJ,4713H
JS6SVV,47003M
JS6TSE,4704H
JS6TUG,4701M
JS6UIN,47005M
